,TIC,sec,ec_long,ec_lat,num_s
193,20601206,53,291.2900593796552,55.29096260804385,9
194,20601206,54,291.2900593796552,55.29096260804385,9
195,20601206,74,291.2900593796552,55.29096260804385,9
196,20601206,80,291.2900593796552,55.29096260804385,9
197,20601206,81,291.2900593796552,55.29096260804385,9
198,20601206,119,291.2900593796552,55.29096260804385,9
199,40535161,9,180.45854342861915,-14.212717415297735,5
200,40535161,36,180.45854342861915,-14.212717415297735,5
201,40535161,63,180.45854342861915,-14.212717415297735,5
202,40535161,90,180.45854342861915,-14.212717415297735,5
203,40535161,114,180.45854342861915,-14.212717415297735,5
204,40671033,117,247.35718024461355,13.792549544812648,1
205,40676045,91,247.81555976916812,12.065671636942806,2
206,40676045,117,247.81555976916812,12.065671636942806,2
207,80080066,1,321.2362496152348,-18.834715773994446,5
208,80080066,28,321.2362496152348,-18.834715773994446,5
209,80080066,68,321.2362496152348,-18.834715773994446,5
210,80080066,95,321.2362496152348,-18.834715773994446,5
211,80080066,106,321.2362496152348,-18.834715773994446,5
212,1008153,9,167.22914688906778,-6.289556609206779,4
213,1008153,45,167.22914688906778,-6.289556609206779,4
214,1008153,46,167.22914688906778,-6.289556609206779,4
215,1008153,72,167.22914688906778,-6.289556609206779,4
216,1026619,9,167.68455840731278,-6.669037174470663,3
217,1026619,36,167.68455840731278,-6.669037174470663,3
218,1026619,45,167.68455840731278,-6.669037174470663,3
219,1038216,8,136.67688017886218,-29.074289715672727,6
220,1038216,34,136.67688017886218,-29.074289715672727,6
221,1038216,61,136.67688017886218,-29.074289715672727,6
222,1038216,88,136.67688017886218,-29.074289715672727,6
223,1038216,99,136.67688017886218,-29.074289715672727,6
224,1038216,112,136.67688017886218,-29.074289715672727,6
225,1030004,4,28.18286632083519,-21.688146607404317,3
226,1030004,97,28.18286632083519,-21.688146607404317,3
227,1030004,108,28.18286632083519,-21.688146607404317,3
228,1031383,4,28.244860724254618,-22.0896976830623,3
229,1031383,97,28.244860724254618,-22.0896976830623,3
230,1031383,108,28.244860724254618,-22.0896976830623,3
231,1043986,21,146.6958775063998,14.157685552242002,2
232,1043986,48,146.6958775063998,14.157685552242002,2
233,1023759,42,328.53446176386683,3.641507381022749,3
234,1023759,92,328.53446176386683,3.641507381022749,3
235,1023759,116,328.53446176386683,3.641507381022749,3
236,1042770,21,145.2108155321095,17.302662222150335,2
237,1042770,48,145.2108155321095,17.302662222150335,2
238,1042868,21,145.50495981665793,16.738624643514665,2
239,1042868,48,145.50495981665793,16.738624643514665,2
240,1066957,21,146.3615752142063,15.704388107412946,2
241,1066957,48,146.3615752142063,15.704388107412946,2
242,20704462,18,53.76375563701836,29.357829907177496,3
243,20704462,58,53.76375563701836,29.357829907177496,3
244,20704462,85,53.76375563701836,29.357829907177496,3
245,20749811,56,349.3628807845453,32.936003584651004,2
246,20749811,83,349.3628807845453,32.936003584651004,2
247,20779517,14,292.08807065450134,55.430025032805425,8
248,20779517,40,292.08807065450134,55.430025032805425,8
249,20779517,53,292.08807065450134,55.430025032805425,8
250,20779517,54,292.08807065450134,55.430025032805425,8
251,20779517,74,292.08807065450134,55.430025032805425,8
252,20779517,80,292.08807065450134,55.430025032805425,8
253,20779517,81,292.08807065450134,55.430025032805425,8
254,20779517,119,292.08807065450134,55.430025032805425,8
255,40785206,91,248.1760293093908,11.243191639679054,3
256,40785206,116,248.1760293093908,11.243191639679054,3
257,40785206,117,248.1760293093908,11.243191639679054,3
258,80080623,1,322.24443770721825,-16.816723454456632,5
259,80080623,28,322.24443770721825,-16.816723454456632,5
260,80080623,68,322.24443770721825,-16.816723454456632,5
261,80080623,95,322.24443770721825,-16.816723454456632,5
262,80080623,106,322.24443770721825,-16.816723454456632,5
263,60338633,43,75.01987000510644,2.7857717389214858,3
264,60338633,44,75.01987000510644,2.7857717389214858,3
265,60338633,71,75.01987000510644,2.7857717389214858,3
266,80140747,7,109.40651157994316,-41.86377807119563,5
267,80140747,87,109.40651157994316,-41.86377807119563,5
268,80140747,109,109.40651157994316,-41.86377807119563,5
269,80140747,110,109.40651157994316,-41.86377807119563,5
270,80140747,111,109.40651157994316,-41.86377807119563,5
271,80144740,10,197.12050540193476,-53.1304029570175,11
272,80144740,36,197.12050540193476,-53.1304029570175,11
273,80144740,37,197.12050540193476,-53.1304029570175,11
274,80144740,63,197.12050540193476,-53.1304029570175,11
275,80144740,64,197.12050540193476,-53.1304029570175,11
276,80144740,90,197.12050540193476,-53.1304029570175,11
277,80144740,99,197.12050540193476,-53.1304029570175,11
278,80144740,100,197.12050540193476,-53.1304029570175,11
279,80144740,111,197.12050540193476,-53.1304029570175,11
280,80144740,112,197.12050540193476,-53.1304029570175,11
281,80144740,113,197.12050540193476,-53.1304029570175,11
282,1099837,4,31.358337041531573,-19.301362058243626,4
283,1099837,31,31.358337041531573,-19.301362058243626,4
284,1099837,97,31.358337041531573,-19.301362058243626,4
285,1099837,108,31.358337041531573,-19.301362058243626,4
286,1129777,4,30.79311563805747,-24.59965865293055,5
287,1129777,31,30.79311563805747,-24.59965865293055,5
288,1129777,97,30.79311563805747,-24.59965865293055,5
289,1129777,108,30.79311563805747,-24.59965865293055,5
290,1129777,109,30.79311563805747,-24.59965865293055,5
291,1218962,5,62.130626092142215,-55.66452171663231,6
292,1218962,31,62.130626092142215,-55.66452171663231,6
293,1218962,32,62.130626092142215,-55.66452171663231,6
294,1218962,98,62.130626092142215,-55.66452171663231,6
295,1218962,107,62.130626092142215,-55.66452171663231,6
296,1218962,108,62.130626092142215,-55.66452171663231,6
297,20785413,14,291.1585718026011,52.54527896011915,8
298,20785413,40,291.1585718026011,52.54527896011915,8
299,20785413,53,291.1585718026011,52.54527896011915,8
300,20785413,54,291.1585718026011,52.54527896011915,8
301,20785413,74,291.1585718026011,52.54527896011915,8
302,20785413,80,291.1585718026011,52.54527896011915,8
303,20785413,81,291.1585718026011,52.54527896011915,8
304,20785413,119,291.1585718026011,52.54527896011915,8
