,TIC,ec_long,ec_lat,num_s,sec
1116,53249605,89.95652539834765,31.88119431201227,4,"[19, 59, 60, 73]"
1117,72071788,244.737448701132,18.88539242748718,1,[117]
1118,72095565,92.53676141936417,-31.356405403611102,5,"[6, 33, 87, 110, 111]"
1119,72090499,92.5054644956897,-34.56729176414025,6,"[6, 33, 87, 107, 110, 111]"
1120,72121577,205.0723146629553,-36.00920431847147,5,"[10, 64, 100, 101, 114]"
1121,91754841,283.50458384118394,32.719728357082296,1,[80]
1122,32876138,283.42967755993186,13.24771162496502,1,[80]
1123,53280272,191.96173447097627,4.300582990260356,2,"[91, 115]"
1124,53304943,193.61014998801653,1.9737435098817175,3,"[46, 91, 115]"
1125,53336409,108.88479663937699,32.49644843573391,3,"[20, 47, 60]"
1126,53393980,108.85248422251105,33.59781183940602,3,"[20, 47, 60]"
1127,72310664,93.16089872603234,-30.163274425593674,4,"[33, 87, 110, 111]"
1128,91928222,89.02768520483468,-9.513137431506928,8,"[6, 33, 43, 44, 45, 71, 72, 87]"
1129,91989480,140.33219639454623,5.90223631537481,3,"[45, 46, 72]"
1130,13318586,249.6240444286123,0.4329812847713092,2,"[115, 116]"
1131,13345286,74.16855098294452,-51.16056126664461,8,"[5, 6, 32, 98, 106, 107, 108, 109]"
1132,13345794,74.51270577382074,-49.78541991553755,8,"[5, 6, 32, 98, 106, 107, 108, 109]"
1133,33003187,87.22509442655745,-48.6391884258699,9,"[6, 32, 33, 87, 98, 107, 108, 109, 110]"
1134,33063882,87.92397270020271,-52.57626387183578,7,"[6, 32, 33, 87, 98, 108, 109]"
1135,33066142,88.13368697910325,-50.09072968286855,8,"[6, 32, 33, 87, 98, 107, 109, 110]"
1136,53428328,109.12504580285582,34.98219108451838,3,"[20, 47, 60]"
1137,53550721,174.6017729703054,-40.3050571625088,10,"[9, 36, 63, 90, 99, 100, 110, 111, 112, 113]"
1138,72373386,304.45145627220285,-1.8070591061419714,2,"[92, 116]"
1139,72407079,172.65994467881924,13.899797308966795,2,"[22, 49]"
1140,72408098,177.59468766644682,17.041249868834633,1,[49]
1141,72429235,305.21509354468344,0.3916194180985245,1,[116]
1142,72429238,305.209283741009,0.38979357755529265,1,[116]
1143,72506701,197.92575098227394,26.51331459780538,2,"[23, 50]"
1144,92128422,185.00948806296495,20.857227755803084,1,[23]
1145,92128571,185.46194436935738,19.967102201874148,1,[23]
1146,92043454,186.03119881017386,15.647814166338351,1,[23]
1147,92082171,185.59114065592135,17.205405050099518,1,[23]
1148,92134019,187.37390248431194,16.720770236991658,2,"[23, 50]"
1149,92136299,350.1926861180732,-11.620234276336982,5,"[2, 29, 69, 70, 96]"
1150,92173551,201.09088923853582,-48.77045042992504,11,"[10, 37, 63, 64, 90, 99, 100, 111, 112, 113, 114]"
1151,13566784,137.5697286908849,-23.813887057719352,7,"[8, 34, 61, 88, 99, 112, 113]"
1152,13480756,137.55251614188563,-25.348589282271757,7,"[8, 34, 61, 88, 99, 112, 113]"
1153,13584952,299.77952882243073,4.889240207873547,2,"[92, 116]"
1154,33221859,154.33406431164258,-20.105219670757123,6,"[8, 35, 62, 89, 99, 113]"
1155,53612113,172.75413904112077,-36.777952989009904,10,"[9, 36, 63, 89, 90, 99, 100, 110, 112, 113]"
1156,53678115,26.02238285796161,27.090367914166258,3,"[17, 57, 84]"
1157,53619624,49.236559922852464,50.620635591384406,5,"[18, 24, 25, 78, 85]"
1158,53688090,108.9050397179253,-51.10549649210682,8,"[6, 7, 33, 34, 87, 108, 109, 110]"
