#
#  Times of cadences affected by momentum dumps
#  Created Thu Oct  9 00:03:05 EDT 2025 by roland
#
#  Fields are UTC, TJD, spacecraft time, cadence number, FFI number
#
2018-09-17 03:07:40.630613 UTC, 1378.63113210, 1221188880.0, 108847, 7256
2018-09-19 14:53:40.545388 UTC, 1381.12140889, 1221404040.0, 110640, 7375
2018-09-19 14:55:40.545341 UTC, 1381.12279777, 1221404160.0, 110641, 7375
2018-09-19 14:57:40.545293 UTC, 1381.12418666, 1221404280.0, 110642, 7375
2018-09-19 14:59:40.545245 UTC, 1381.12557555, 1221404400.0, 110643, 7376
2018-09-19 15:01:40.545198 UTC, 1381.12696444, 1221404520.0, 110644, 7376
2018-09-19 15:03:40.545150 UTC, 1381.12835333, 1221404640.0, 110645, 7376
2018-09-19 15:05:40.545103 UTC, 1381.12974222, 1221404760.0, 110646, 7376
2018-09-19 15:07:40.545055 UTC, 1381.13113110, 1221404880.0, 110647, 7376
2018-09-21 04:59:40.490346 UTC, 1382.70890825, 1221541200.0, 111783, 7452
2018-09-21 05:01:40.490298 UTC, 1382.71029714, 1221541320.0, 111784, 7452
2018-09-21 05:03:40.490250 UTC, 1382.71168603, 1221541440.0, 111785, 7452
2018-09-21 05:05:40.490201 UTC, 1382.71307491, 1221541560.0, 111786, 7452
2018-09-21 05:07:40.490153 UTC, 1382.71446380, 1221541680.0, 111787, 7452
2018-09-21 05:09:40.490104 UTC, 1382.71585269, 1221541800.0, 111788, 7452
2018-09-21 05:11:40.490056 UTC, 1382.71724158, 1221541920.0, 111789, 7452
2018-09-21 05:13:40.490007 UTC, 1382.71863047, 1221542040.0, 111790, 7452
2018-09-21 05:15:40.489959 UTC, 1382.72001936, 1221542160.0, 111791, 7452
2018-09-21 05:17:40.489911 UTC, 1382.72140824, 1221542280.0, 111792, 7452
2018-09-21 05:19:40.489862 UTC, 1382.72279713, 1221542400.0, 111793, 7452
2018-09-21 05:21:40.489814 UTC, 1382.72418602, 1221542520.0, 111794, 7452
2018-09-21 05:23:40.489765 UTC, 1382.72557491, 1221542640.0, 111795, 7452
2018-09-23 17:53:40.401879 UTC, 1385.24640723, 1221760440.0, 113610, 7573
2018-09-23 17:55:40.401831 UTC, 1385.24779611, 1221760560.0, 113611, 7573
2018-09-23 17:57:40.401783 UTC, 1385.24918500, 1221760680.0, 113612, 7573
2018-09-23 17:59:40.401734 UTC, 1385.25057389, 1221760800.0, 113613, 7574
2018-09-23 18:01:40.401686 UTC, 1385.25196278, 1221760920.0, 113614, 7574
2018-09-23 18:03:40.401637 UTC, 1385.25335167, 1221761040.0, 113615, 7574
2018-09-23 18:05:40.401589 UTC, 1385.25474056, 1221761160.0, 113616, 7574
2018-09-23 18:07:40.401540 UTC, 1385.25612944, 1221761280.0, 113617, 7574
2018-09-26 05:53:40.314720 UTC, 1387.74640622, 1221976440.0, 115410, 7693
2018-09-26 05:55:40.314671 UTC, 1387.74779510, 1221976560.0, 115411, 7693
2018-09-26 05:57:40.314623 UTC, 1387.74918399, 1221976680.0, 115412, 7693
2018-09-26 05:59:40.314575 UTC, 1387.75057288, 1221976800.0, 115413, 7694
2018-09-26 06:01:40.314526 UTC, 1387.75196177, 1221976920.0, 115414, 7694
2018-09-26 06:03:40.314478 UTC, 1387.75335066, 1221977040.0, 115415, 7694
2018-09-26 06:05:40.314429 UTC, 1387.75473955, 1221977160.0, 115416, 7694
2018-09-26 06:07:40.314381 UTC, 1387.75612843, 1221977280.0, 115417, 7694
2018-09-28 17:53:40.227560 UTC, 1390.24640521, 1222192440.0, 117210, 7813
2018-09-28 17:55:40.227512 UTC, 1390.24779410, 1222192560.0, 117211, 7813
2018-09-28 17:57:40.227463 UTC, 1390.24918298, 1222192680.0, 117212, 7813
2018-09-28 17:59:40.227415 UTC, 1390.25057187, 1222192800.0, 117213, 7814
2018-09-28 18:01:40.227367 UTC, 1390.25196076, 1222192920.0, 117214, 7814
2018-09-28 18:03:40.227318 UTC, 1390.25334965, 1222193040.0, 117215, 7814
2018-09-28 18:05:40.227270 UTC, 1390.25473854, 1222193160.0, 117216, 7814
2018-09-28 18:07:40.227221 UTC, 1390.25612743, 1222193280.0, 117217, 7814
2018-10-01 05:53:40.140401 UTC, 1392.74640420, 1222408440.0, 119010, 7933
2018-10-01 05:55:40.140352 UTC, 1392.74779309, 1222408560.0, 119011, 7933
2018-10-01 05:57:40.140304 UTC, 1392.74918198, 1222408680.0, 119012, 7933
2018-10-01 05:59:40.140255 UTC, 1392.75057086, 1222408800.0, 119013, 7934
2018-10-01 06:01:40.140207 UTC, 1392.75195975, 1222408920.0, 119014, 7934
2018-10-01 06:03:40.140158 UTC, 1392.75334864, 1222409040.0, 119015, 7934
2018-10-01 06:05:40.140110 UTC, 1392.75473753, 1222409160.0, 119016, 7934
2018-10-01 06:07:40.140062 UTC, 1392.75612642, 1222409280.0, 119017, 7934
2018-10-03 17:53:40.053241 UTC, 1395.24640319, 1222624440.0, 120810, 8053
2018-10-03 17:55:40.053192 UTC, 1395.24779208, 1222624560.0, 120811, 8053
2018-10-03 17:57:40.053144 UTC, 1395.24918097, 1222624680.0, 120812, 8053
2018-10-03 17:59:40.053096 UTC, 1395.25056985, 1222624800.0, 120813, 8054
2018-10-03 18:01:40.053047 UTC, 1395.25195874, 1222624920.0, 120814, 8054
2018-10-03 18:03:40.052999 UTC, 1395.25334763, 1222625040.0, 120815, 8054
2018-10-03 18:05:40.052950 UTC, 1395.25473652, 1222625160.0, 120816, 8054
2018-10-03 18:07:40.052902 UTC, 1395.25612541, 1222625280.0, 120817, 8054
2018-10-07 04:55:39.932622 UTC, 1398.70612402, 1222923360.0, 123301, 8219
2018-10-07 04:57:39.932573 UTC, 1398.70751290, 1222923480.0, 123302, 8219
2018-10-07 04:59:39.932525 UTC, 1398.70890179, 1222923600.0, 123303, 8220
2018-10-07 05:01:39.932476 UTC, 1398.71029068, 1222923720.0, 123304, 8220
2018-10-07 05:03:39.932428 UTC, 1398.71167957, 1222923840.0, 123305, 8220
2018-10-07 05:05:39.932380 UTC, 1398.71306846, 1222923960.0, 123306, 8220
2018-10-07 05:07:39.932331 UTC, 1398.71445735, 1222924080.0, 123307, 8220
2018-10-07 05:09:39.932283 UTC, 1398.71584623, 1222924200.0, 123308, 8220
2018-10-09 04:55:39.862894 UTC, 1400.70612321, 1223096160.0, 124741, 8315
2018-10-09 04:57:39.862846 UTC, 1400.70751210, 1223096280.0, 124742, 8315
2018-10-09 04:59:39.862797 UTC, 1400.70890099, 1223096400.0, 124743, 8316
2018-10-09 05:01:39.862749 UTC, 1400.71028987, 1223096520.0, 124744, 8316
2018-10-09 05:03:39.862700 UTC, 1400.71167876, 1223096640.0, 124745, 8316
2018-10-09 05:05:39.862652 UTC, 1400.71306765, 1223096760.0, 124746, 8316
